backend,B,T,NH,DIM,latency_ms,bytes,flops,ncu_bytes_total,ncu_launches
ADKV (4-bit),1,2048,32,128,0.12275200337171555,5173248.0,33554432,5173248.0,1
ADKV (4-bit),4,2048,32,128,0.13414399325847626,20535680.0,134217728,20535680.0,1
ADKV (4-bit),16,2048,32,128,0.18227200210094452,81986560.0,536870912,81986560.0,1
ADKV (4-bit),32,2048,32,128,0.29131197929382324,167796352.0,1073741824,167796352.0,1
ADKV (4-bit),64,2048,32,128,0.5099520087242126,331598080.0,2147483648,331598080.0,1
ADKV (4-bit),128,2048,32,128,0.9021440148353577,659215872.0,4294967296,659215872.0,1
ADKV (4-bit),256,2048,32,128,1.7551360130310059,1317072256.0,8589934592,1317072256.0,1
ADKV (4-bit),512,2048,32,128,3.2522239685058594,2629681920.0,17179869184,2629681920.0,1
